input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,msmarco_rerank_psg NDCG@10,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,nlu exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
16384,xattn_v6,xattn_v6_threshold0.95,100.0,97.0,100.0,100.0,58.666666666666664,90.66666666666666,61.0,59.66666666666667,27.93779619073737,38.0,,71.39999999999999,54.800000000000004,81.2,,,,,,,,,99.25,67.5,69.13333333333333,,,32.96889809536869,67.2130578571755
16384,flex,flex_gamma0.95_tau0.1,100.0,94.0,100.0,91.0,55.50000000000001,89.33333333333333,56.99999999999999,57.49999999999999,31.47982348711249,40.0,41.97208943089431,78.0,49.8,80.0,88.8,83.0,35.483333333333334,12.608044733044736,12.122627372627374,11.6,3.6918224824333703,5.120656344076462,96.25,64.83333333333333,75.92,13.437747377585879,41.97208943089431,35.73991174355625,54.692180314228295
32768,full,full_flashinfer,100.0,99.0,99.75,100.0,55.833333333333336,89.33333333333333,57.333333333333336,58.333333333333336,33.28005200681671,52.0,42.3969918699187,68.8,56.599999999999994,86.0,92.4,87.0,29.71666666666667,7.957936507936508,8.231421356421357,21.8,5.737173406085056,5.209094380066994,99.6875,65.20833333333333,78.16,13.108715386196101,42.3969918699187,42.64002600340835,56.86692776547608
32768,xattn,xattn_threshold0.95,99.0,98.0,99.75,100.0,56.99999999999999,0.0,0.6666666666666667,0.0,32.463768290533,50.0,39.7509593495935,70.19999999999999,56.39999999999999,86.4,92.4,86.8,28.933333333333337,5.93030303030303,6.358730158730159,15.2,7.603915230785504,6.570953595968835,99.1875,14.416666666666664,78.44,11.766205891520144,39.7509593495935,41.2318841452665,47.465536008841134
32768,xattn_v6,xattn_v6_threshold0.95,99.0,98.0,99.75,100.0,56.833333333333336,89.16666666666667,57.333333333333336,57.833333333333336,33.1708389976037,50.0,,70.0,56.8,,,,,,,,,,99.1875,65.29166666666667,63.4,,,41.585419498801855,67.36614654136713
32768,flex,flex_gamma0.95_tau0.1,98.0,97.0,99.5,95.0,56.666666666666664,88.66666666666667,56.00000000000001,55.50000000000001,30.747701742701743,47.0,30.02888617886179,79.80000000000001,51.6,84.39999999999999,91.2,87.2,30.099999999999998,2.469949494949495,3.3375541125541126,11.8,5.465963916270411,5.022313493574621,97.375,64.20833333333334,78.84,9.699296836224772,30.02888617886179,38.87385087135087,53.17089453662845
65536,full,full_flashinfer,99.0,98.0,99.75,100.0,54.833333333333336,89.33333333333333,57.99999999999999,55.666666666666664,40.29294844044845,51.0,32.28291056910569,74.6,62.0,88.6,93.60000000000001,87.2,35.849999999999994,4.2303030303030305,4.6976911976911975,24.400000000000002,4.446785753802436,4.3507147497215986,99.1875,64.45833333333333,81.2,12.995915788586379,32.28291056910569,45.64647422022422,55.961855651874934
65536,xattn,xattn_threshold0.95,98.0,97.0,99.25,100.0,56.00000000000001,0.0,0.6666666666666667,55.00000000000001,40.071447718947724,49.0,29.088016260162604,75.8,63.2,88.4,93.8,87.8,25.016666666666666,1.6566534914361002,1.7512626262626265,20.2,6.566868645637984,4.788773824046375,98.5625,27.91666666666667,81.8,9.996704209008291,29.088016260162604,44.53572385947386,48.64993516588524
65536,xattn_v6,xattn_v6_threshold0.95,98.0,97.0,99.25,100.0,55.833333333333336,89.83333333333333,57.666666666666664,54.50000000000001,40.071447718947724,51.0,,76.2,62.6,,,,,,,,,,98.5625,64.45833333333333,69.4,,,45.53572385947386,69.48913929820179
65536,flex,flex_gamma0.95_tau0.1,97.0,94.0,100.0,87.0,56.49999999999999,89.66666666666666,54.666666666666664,53.833333333333336,36.247796925296925,44.0,17.284617886178864,81.39999999999999,58.4,86.8,94.39999999999999,88.0,19.883333333333336,0.07692307692307693,0.14285714285714285,18.6,2.0610054035518433,2.1774096878655085,94.5,63.666666666666664,81.79999999999998,7.156921440755151,17.284617886178864,40.12389846264846,50.75535074270818
