input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,msmarco_rerank_psg NDCG@10,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,nlu exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
8192,full,full_flashinfer,100.0,100.0,100.0,100.0,62.16666666666667,89.83333333333333,65.33333333333333,62.66666666666667,21.913802253444196,32.0,66.5440406504065,69.39999999999999,46.2,77.60000000000001,82.6,81.2,45.016666666666666,58.64007936507936,49.02891319207108,29.200000000000003,12.535734114238343,14.468550465659447,100.0,70.0,71.39999999999999,34.81499063395248,66.5440406504065,26.956901126722098,61.619322068513505
8192,xattn,xattn_threshold0.95,0.0,99.0,100.0,98.0,60.83333333333333,90.33333333333333,0.33333333333333337,0.0,21.821763857057974,34.0,66.66433333333333,69.0,46.2,76.4,82.6,81.2,46.0,50.42016594516594,45.461751973516684,26.999999999999996,12.25657621773004,13.621661748541197,74.25,37.875,71.08000000000001,32.46002598082564,66.66433333333333,27.910881928528987,51.70670687378132
8192,xattn,xattn_threshold0.9,99.0,97.0,100.0,96.0,60.0,89.5,62.0,63.16666666666667,21.522439992516716,32.0,66.07248780487805,69.39999999999999,46.0,76.0,82.6,80.2,0.0,0.0,0.0,0.0,0.0,0.0,98.0,68.66666666666667,70.84,0.0,66.07248780487805,26.761219996258358,55.056729077967184
8192,flex,flex_gamma0.95_tau0.1,98.0,96.0,99.75,90.0,56.833333333333336,87.16666666666667,60.0,57.99999999999999,22.870629805923926,34.0,54.11130894308942,74.4,41.4,70.8,76.2,78.60000000000001,43.63333333333334,36.27960095460096,34.12566205724101,23.999999999999996,3.972240821770936,6.674526785736232,95.9375,65.5,68.28,24.780893992113743,54.11130894308942,28.435314902961963,56.174169639694185
8192,flex,flex_gamma0.9_tau0.1,97.0,83.0,89.0,78.0,54.333333333333336,86.83333333333333,52.0,49.5,22.213980778622723,30.0,44.503544715447156,72.6,31.8,63.2,65.4,76.0,30.150000000000006,9.767712842712843,14.94934875066454,15.200000000000003,4.788301665402168,6.332957176437022,86.75,60.66666666666667,61.8,13.531386739202764,44.503544715447156,26.106990389311363,48.89309808510466
8192,xflex,xflex_threshold0.95_scoreratio0.95,100.0,100.0,100.0,100.0,61.5,90.33333333333333,64.66666666666666,62.5,21.8223205467451,33.0,67.34365853658537,70.0,46.400000000000006,77.60000000000001,82.39999999999999,81.39999999999999,44.800000000000004,58.06901709401709,49.680427467269574,27.0,13.415852892710953,15.064155370322041,100.0,69.75,71.55999999999999,34.671575470719944,67.34365853658537,27.411160273372552,61.78939904677964
8192,xflex,xflex_threshold0.95_scoreratio0.5,100.0,99.0,100.0,99.0,62.16666666666667,90.5,64.33333333333333,62.5,20.911758886183442,32.0,67.71334146341464,69.39999999999999,46.0,77.60000000000001,82.39999999999999,81.2,47.05,57.634018759018765,49.05002913752913,26.0,14.148720084598521,15.600275549702323,99.5,69.875,71.32,34.91384058847479,67.71334146341464,26.45587944309172,61.62967691583018
8192,xflex,xflex_threshold0.95_scoreratio0.2,100.0,99.0,100.0,98.0,0.0,0.0,0.33333333333333337,62.33333333333333,21.481287666581785,33.0,66.60984552845528,70.0,45.800000000000004,76.2,82.39999999999999,81.2,46.766666666666666,54.64664502164502,48.40818903318903,,,,99.25,15.666666666666666,71.11999999999999,49.94050024050025,66.60984552845528,27.240643833290893,54.97127604481886
8192,xflex,xflex_threshold0.5_scoreratio0.95,0.0,100.0,0.0,0.0,61.66666666666667,89.83333333333333,65.0,62.33333333333333,22.1714547458793,32.0,65.61882113821139,69.8,46.0,77.60000000000001,82.0,81.2,45.88333333333333,63.356529581529585,52.47083333333333,27.800000000000004,12.637762870310294,14.343404683600692,25.0,69.70833333333333,71.32,36.081977300351205,65.61882113821139,27.08572737293965,49.135809857472594
8192,xflex,xflex_threshold0.2_scoreratio0.95,0.0,0.0,0.0,0.0,61.66666666666667,89.83333333333333,64.66666666666666,62.5,22.1714547458793,32.0,65.80253658536586,70.0,45.800000000000004,77.60000000000001,82.19999999999999,81.2,45.583333333333336,61.63986291486292,50.71527777777778,27.0,12.570118965980342,14.213301531172078,0.0,69.66666666666666,71.36,35.28698242052107,65.80253658536586,27.08572737293965,44.8669855075822
