input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,nlu exact_match,Recall,RAG,ICL,Cite,LongQA,Ours
16384,xattn_v6,glm4_xattn_v6_threshold0.95,89.0,92.0,99.75,99.0,61.16666666666667,89.5,64.66666666666666,61.66666666666667,32.76407264905717,60.0,79.0,40.0,52.0,,,,,28.400000000000002,16.98112077239866,18.65261496448109,,94.9375,69.25,57.0,21.344578578959915,46.382036324528585,57.7828229806977
16384,flex,glm4_flex_gamma0.95_tau0.1,98.0,93.0,100.0,67.0,58.333333333333336,89.83333333333333,62.66666666666667,60.5,31.096134421134426,59.0,81.2,27.400000000000002,46.0,,,,,20.4,13.578038523091173,14.092000275624356,,89.5,67.83333333333333,51.53333333333334,16.02334626623851,45.04806721056721,53.98761602869447
32768,full,glm4_full_flashattention,99.0,90.0,97.25,100.0,57.666666666666664,89.33333333333333,59.66666666666667,58.166666666666664,35.953322875954456,65.0,80.80000000000001,52.800000000000004,83.2,,,,,21.2,10.111387796441477,11.672026784497087,,96.5625,66.20833333333333,72.26666666666667,14.327804860312854,50.47666143797723,59.968393259658015
32768,xattn,glm4_xattn_threshold0.95,87.0,73.0,95.75,80.0,56.00000000000001,88.83333333333333,,,36.721885685693735,67.0,,,,,,,,,,,,83.9375,72.41666666666667,,,51.86094284284687,69.40503650317119
32768,xattn_v6,glm4_xattn_v6_threshold0.95,87.0,73.0,95.5,80.0,56.166666666666664,89.0,61.33333333333333,58.666666666666664,35.782164502164505,65.0,81.6,53.400000000000006,81.8,,,,,17.200000000000003,10.228546638275102,11.65419180011757,,83.875,66.29166666666666,72.26666666666667,13.027579479464224,50.39108225108225,57.17039901277597
32768,flex,glm4_flex_gamma0.95_tau0.1,98.0,91.0,88.75,85.0,55.333333333333336,87.83333333333333,59.66666666666667,58.333333333333336,36.83449991922478,71.0,85.8,45.2,75.6,,,,,9.8,7.830365576975485,8.16383203999303,,90.6875,65.29166666666667,68.86666666666666,8.59806587232284,53.91724995961239,57.472229833053724
65536,full,glm4_full_flashattention,98.0,82.0,93.75,100.0,56.333333333333336,88.5,58.666666666666664,56.166666666666664,40.21736614639841,70.0,82.39999999999999,63.4,,,,,,7.3999999999999995,8.018821747612316,10.195249807211626,,93.4375,64.91666666666666,72.89999999999999,8.538023851607981,55.1086830731992,58.98017471829477
65536,xattn,glm4_xattn_threshold0.95,81.0,69.0,92.0,95.0,57.166666666666664,88.33333333333333,,,43.7609992676631,70.0,,,,,,,,,,,,84.25,72.75,,,56.88049963383155,71.29349987794386
65536,xattn_v6,glm4_xattn_v6_threshold0.95,81.0,69.0,91.25,95.0,56.833333333333336,88.16666666666667,59.66666666666667,56.166666666666664,44.190486447150285,70.0,83.8,63.4,,,,,,4.2,6.769304179008126,13.043030690537085,,84.0625,65.20833333333333,73.6,8.004111623181737,57.09524322357514,57.59403763601804
65536,flex,glm4_flex_gamma0.95_tau0.1,97.0,80.0,86.0,92.0,58.166666666666664,88.0,59.0,56.49999999999999,42.10364632648664,67.0,86.4,59.8,,,,,,4.0,5.182618795132051,5.04824016563147,,88.75,65.41666666666666,73.1,4.74361965358784,54.55182316324332,57.31242189669956
