Config,Config,Config,Recall,Recall,Recall,Recall,RAG,RAG,RAG,RAG,ICL,ICL,ICL,ICL,ICL,Cite,Cite,Cite,Cite,Cite,Cite,Re-rank,LongQA,LongQA,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
,,,KeyValue,NIAH,NIAH,NIAH,,,,,Other,Other,Other,TREC,TREC,ASQA,ASQA,ASQA,QAMPARI,QAMPARI,QAMPARI,,InfBench,InfBench,Summary,Summary,Summary,Summary,Summary,Summary,
input_max_length,attention,tag,json_kv,niah_mk_2,niah_mk_3,niah_mv,hotpotqa,nq,popqa,triviaqa,banking77,clinic150,nlu,trec_coarse,trec_fine,asqa_citation_prec,asqa_citation_rec,asqa_str_em,qampari_citation_prec,qampari_citation_rec,qampari_rec_top5,msmarco_psg,infbench_choice,infbench_qa,avg_score,avg_score,avg_score,avg_score,avg_score,avg_score,
16384,full,qwen_full,97.0,99.0,99.0,97.0,59.0,55.333333333333336,59.166666666666664,82.16666666666667,82.6,88.0,85.0,86.0,48.4,37.5219696969697,42.095238095238095,35.333333333333336,12.823199349139088,12.752283670614716,20.999999999999996,46.48564227642276,50.0,32.153400814871404,98.0,63.91666666666667,78.0,26.92100402421582,46.48564227642276,41.0767004074357,59.066668895790166
16384,xattn,qwen_xattn_threshold0.95,97.0,97.0,98.0,95.75,59.0,52.83333333333333,57.833333333333336,82.66666666666667,82.39999999999999,88.2,84.0,86.0,47.199999999999996,41.0076479076479,40.422619047619044,36.95,10.053759453759454,9.611685482896277,9.799999999999999,45.89173170731707,49.0,32.41976712829654,96.9375,63.08333333333333,77.55999999999999,24.64095198198712,45.89173170731707,40.70988356414827,58.13723343113097
16384,xattn_single,qwen_xattn_threshold0.95,97.0,97.0,98.0,95.75,59.0,52.83333333333333,57.833333333333336,82.66666666666667,82.39999999999999,88.2,84.0,86.0,47.199999999999996,41.0076479076479,40.422619047619044,36.95,10.053759453759454,9.611685482896277,9.799999999999999,45.89173170731707,49.0,32.41976712829654,96.9375,63.08333333333333,77.55999999999999,24.64095198198712,45.89173170731707,40.70988356414827,58.13723343113097
16384,xattn_v5,qwen_xattn_v5_threshold0.95,97.0,97.0,98.0,95.25,59.66666666666667,52.83333333333333,57.833333333333336,83.16666666666667,82.8,87.8,84.6,85.8,48.199999999999996,38.39148351648352,40.91904761904762,35.48333333333334,10.196106744133061,9.733120555914674,11.6,44.712024390243904,51.0,30.804029924324045,96.8125,63.375,77.84,24.387181961485368,44.712024390243904,40.90201496216202,58.00478688564855
16384,xattn_v5_single,qwen_xattn_v5_threshold0.95,97.0,97.0,98.0,95.25,59.66666666666667,52.83333333333333,57.833333333333336,83.16666666666667,82.8,87.8,84.6,85.8,48.199999999999996,38.39148351648352,40.91904761904762,35.48333333333334,10.196106744133061,9.733120555914674,11.6,44.712024390243904,51.0,30.804029924324045,96.8125,63.375,77.84,24.387181961485368,44.712024390243904,40.90201496216202,58.00478688564855
16384,xattn_v6,qwen_xattn_v6_threshold0.95,96.0,95.0,99.0,96.25,58.333333333333336,53.5,57.49999999999999,82.16666666666667,83.0,87.6,85.6,86.0,48.0,38.32864357864358,42.394444444444446,36.63333333333333,10.192547321959086,10.099604780629448,10.8,46.072422764227646,51.0,32.226264797294206,96.5625,62.875,78.04,24.741428909834983,46.072422764227646,41.6131323986471,58.3174140121183
16384,xattn_v7,qwen_xattn_v7_threshold0.95,95.0,95.0,98.0,96.25,56.666666666666664,50.83333333333333,58.166666666666664,82.0,82.6,87.2,83.8,85.39999999999999,48.199999999999996,38.487698412698414,40.91428571428571,34.98333333333334,9.590114709851552,9.372171945701357,11.0,46.88108130081301,52.0,30.63146915176327,96.0625,61.916666666666664,77.44,24.05793401931173,46.88108130081301,41.315734575881635,57.94565276044549
16384,xattn_v8,qwen_xattn_v8_threshold0.95,97.0,96.0,97.0,95.5,59.66666666666667,52.666666666666664,57.833333333333336,82.5,82.39999999999999,88.0,84.2,86.0,48.8,39.912301587301585,41.09563492063492,36.61666666666667,9.390553561935143,8.736076962253431,8.200000000000001,44.12883739837398,52.0,31.7283751869046,96.375,63.16666666666667,77.88,23.991872283131958,44.12883739837398,41.8641875934523,57.90109399027082
16384,xattn_v9,qwen_xattn_v9_threshold0.95,97.0,97.0,97.0,95.25,60.0,51.83333333333333,57.49999999999999,82.66666666666667,82.8,88.2,84.39999999999999,85.8,48.199999999999996,38.9523199023199,37.87619047619048,34.93333333333334,9.238984131089394,9.038496313062122,11.200000000000001,45.96850406504065,48.0,32.11625397478339,96.5625,63.0,77.88,23.53988735933254,45.96850406504065,40.058126987391695,57.83483640196081
16384,xflex_v6,qwen_xflex_v6_threshold0.95_score0.001,97.0,96.0,99.0,96.25,57.99999999999999,52.83333333333333,57.333333333333336,82.5,83.2,88.2,85.2,85.8,48.0,40.33882783882783,43.11309523809524,36.25,10.982589048378523,10.876095541885014,12.0,45.13833333333333,51.0,32.24055051157992,97.0625,62.666666666666664,78.08,25.593434611197765,45.13833333333333,41.62027525578996,58.360201644497955
32768,flex,qwen_flex_gamma0.95_tau0.1,87.0,93.0,78.0,80.25,46.666666666666664,41.66666666666667,52.666666666666664,83.83333333333334,84.0,88.6,88.0,85.2,48.8,4.423809523809524,2.524314574314574,15.816666666666668,6.859307359307359,3.537445887445887,0.0,27.855569105691053,38.0,10.304654044785625,84.5625,56.208333333333336,78.92,5.5269240019240025,27.855569105691053,24.15232702239281,46.204275577223534
32768,full,qwen_full,98.0,98.0,97.0,88.75,47.0,42.16666666666667,60.16666666666667,80.33333333333333,83.8,90.4,85.8,85.6,49.8,23.113888888888884,16.38531746031746,33.900000000000006,6.653930481283423,5.418341260257769,5.4,36.36585365853659,51.0,14.836124328887488,95.4375,57.41666666666667,79.08000000000001,15.145246348457926,36.36585365853659,32.91806216444375,52.727221473017494
32768,xattn,qwen_xattn_threshold0.95,94.0,96.0,96.0,88.75,47.0,42.16666666666667,59.833333333333336,80.33333333333333,83.6,90.4,85.6,86.0,49.2,23.30952380952381,15.669191919191917,34.78333333333333,4.566448107115273,3.5881891950966276,1.6,31.45972357723577,53.0,11.627826515589671,93.6875,57.33333333333333,78.96,13.919447727376827,31.45972357723577,32.31391325779484,51.278986315956786
32768,xattn_single,qwen_xattn_threshold0.95,94.0,96.0,96.0,88.75,47.0,42.16666666666667,59.833333333333336,80.33333333333333,83.6,90.4,85.6,86.0,49.2,23.30952380952381,15.669191919191917,34.78333333333333,4.566448107115273,3.5881891950966276,1.6,31.45972357723577,53.0,11.627826515589671,93.6875,57.33333333333333,78.96,13.919447727376827,31.45972357723577,32.31391325779484,51.278986315956786
32768,xattn_v5,qwen_xattn_v5_threshold0.95,93.0,94.0,97.0,88.0,47.0,42.66666666666667,57.333333333333336,80.16666666666666,84.0,90.60000000000001,85.6,85.8,49.2,20.2237012987013,14.002922077922078,32.81666666666666,7.52008457381533,8.06722050552553,1.8000000000000003,33.848032520325205,54.0,13.847776565539723,93.0,56.791666666666664,79.04,14.071765853771815,33.848032520325205,33.92388828276986,51.77922555392225
32768,xattn_v5_single,qwen_xattn_v5_threshold0.95,93.0,94.0,97.0,88.0,47.0,42.66666666666667,57.333333333333336,80.16666666666666,84.0,90.60000000000001,85.6,85.8,49.2,20.2237012987013,14.002922077922078,32.81666666666666,7.52008457381533,8.06722050552553,1.8000000000000003,33.848032520325205,54.0,13.847776565539723,93.0,56.791666666666664,79.04,14.071765853771815,33.848032520325205,33.92388828276986,51.77922555392225
32768,xattn_v6,qwen_xattn_v6_threshold0.95,95.0,96.0,96.0,87.5,47.333333333333336,43.0,58.833333333333336,80.5,83.6,90.2,86.0,86.4,49.0,27.44563492063492,16.022763347763348,31.516666666666666,5.470131231769163,5.544625900213458,3.8,34.0100650406504,53.0,12.375604293367452,93.625,57.41666666666667,79.03999999999999,14.96663701117459,34.0100650406504,32.68780214668372,51.9576951441959
32768,xattn_v7,qwen_xattn_v7_threshold0.95,92.0,96.0,97.0,86.75,47.0,41.66666666666667,56.666666666666664,81.0,83.2,91.0,85.8,85.2,49.4,22.917338217338216,14.023593073593075,35.50000000000001,5.276684081031906,4.4479996291947455,2.2,32.815276422764235,52.0,14.135835173598329,92.9375,56.583333333333336,78.92,14.060935833526324,32.815276422764235,33.06791758679916,51.39749386273718
32768,xattn_v8,qwen_xattn_v8_threshold0.95,93.0,95.0,97.0,87.75,47.333333333333336,41.16666666666667,59.66666666666667,80.66666666666666,84.0,90.2,85.6,86.4,48.6,24.102777777777774,15.701226551226553,35.06666666666667,5.671457775141607,4.174326551135022,2.5999999999999996,33.21277235772358,53.0,11.7240891418523,93.1875,57.208333333333336,78.96,14.552742553657936,33.21277235772358,32.36204457092615,51.5805654692735
32768,xattn_v9,qwen_xattn_v9_threshold0.95,94.0,95.0,96.0,87.75,47.333333333333336,42.833333333333336,60.5,80.16666666666666,84.2,90.2,85.2,86.8,48.8,23.323318348318345,15.15764790764791,34.75000000000001,6.2070342425573735,5.230816874460139,2.5999999999999996,33.173707317073166,54.0,10.86671540447856,93.1875,57.708333333333336,79.03999999999999,14.544802895497293,33.173707317073166,32.43335770223928,51.681283541357175
32768,xflex_v6,qwen_xflex_v6_threshold0.95_score0.001,95.0,94.0,96.0,87.5,47.333333333333336,42.833333333333336,59.166666666666664,80.66666666666666,83.6,90.0,86.0,86.4,48.6,24.418001443001444,15.870177045177048,32.083333333333336,5.923201401772831,5.208579397984292,1.6,34.74358536585366,54.0,12.125748593511751,93.125,57.5,78.92,14.183882103544825,34.74358536585366,33.06287429675588,51.92255696102573
65536,flex,qwen_flex_gamma0.95_tau0.1,24.0,41.0,28.999999999999996,71.0,39.33333333333333,30.5,35.333333333333336,67.83333333333333,83.6,86.8,84.2,86.0,50.4,0.7978723404255319,0.2149151085321298,19.116666666666667,1.8500000000000003,0.6944444444444444,0.0,8.630772357723577,28.999999999999996,8.321829440769068,41.25,43.25,78.2,3.778983093344795,8.630772357723577,18.660914720384532,32.29511169524215
65536,full,qwen_full,30.0,49.0,31.0,80.25,41.66666666666667,33.166666666666664,41.833333333333336,69.33333333333334,83.39999999999999,92.80000000000001,84.2,87.2,51.2,0.5,0.125,23.166666666666664,0.0,0.0,1.2,12.049528455284554,39.0,7.545080627433568,47.5625,46.50000000000001,79.76,4.165277777777777,12.049528455284554,23.272540313716785,35.55164109112985
65536,xattn,qwen_xattn_threshold0.95,31.0,41.0,32.0,78.25,41.0,32.33333333333333,42.66666666666667,68.66666666666667,83.39999999999999,92.2,83.6,86.8,52.2,0.3125,0.2727272727272727,23.166666666666668,1.625,0.5653846153846154,0.4,10.572512195121952,37.0,7.819115851468792,45.5625,46.16666666666667,79.63999999999999,4.390379759129759,10.572512195121952,22.409557925734397,34.79026942444213
65536,xattn_single,qwen_xattn_threshold0.95,31.0,41.0,32.0,78.25,41.0,32.33333333333333,42.66666666666667,68.66666666666667,83.39999999999999,92.2,83.6,86.8,52.2,0.3125,0.2727272727272727,23.166666666666668,1.625,0.5653846153846154,0.4,10.572512195121952,37.0,7.819115851468792,45.5625,46.16666666666667,79.63999999999999,4.390379759129759,10.572512195121952,22.409557925734397,34.79026942444213
65536,xattn_v5,qwen_xattn_v5_threshold0.95,32.0,37.0,31.0,80.0,41.66666666666667,33.5,41.5,72.0,83.2,92.4,84.8,87.2,52.0,0.3333333333333333,0.14285714285714285,23.2,1.916666666666667,0.7227272727272727,0.4,10.363569105691056,37.0,8.148098198098197,45.0,47.16666666666667,79.91999999999999,4.452597402597402,10.363569105691056,22.5740490990491,34.912813712334035
65536,xattn_v5_single,qwen_xattn_v5_threshold0.95,32.0,37.0,31.0,80.0,41.66666666666667,33.5,41.5,72.0,83.2,92.4,84.8,87.2,52.0,0.3333333333333333,0.14285714285714285,23.2,1.916666666666667,0.7227272727272727,0.4,10.363569105691056,37.0,8.148098198098197,45.0,47.16666666666667,79.91999999999999,4.452597402597402,10.363569105691056,22.5740490990491,34.912813712334035
65536,xattn_v6,qwen_xattn_v6_threshold0.95,31.0,40.0,33.0,79.0,41.0,32.0,40.166666666666664,69.5,82.8,91.8,85.2,86.2,51.800000000000004,0.0,0.0,20.23333333333333,1.3333333333333333,0.3214285714285714,1.4,11.007943089430896,34.0,7.431956931956933,45.75,45.666666666666664,79.56,3.881349206349206,11.007943089430896,20.715978465978466,34.430322904737544
65536,xattn_v7,qwen_xattn_v7_threshold0.95,32.0,40.0,32.0,79.25,38.666666666666664,31.166666666666664,39.666666666666664,70.5,82.19999999999999,92.2,84.8,87.4,51.2,1.0,0.14285714285714285,26.28333333333333,2.0,0.5,0.4,11.358699186991869,40.0,8.088968221321162,45.8125,45.0,79.56,5.054365079365079,11.358699186991869,24.04448411066058,35.13834139616959
65536,xattn_v8,qwen_xattn_v8_threshold0.95,30.0,35.0,31.0,80.25,42.66666666666667,32.33333333333333,41.5,69.33333333333334,83.8,91.60000000000001,84.6,87.0,52.0,0.3333333333333333,0.125,17.383333333333333,0.0,0.0,0.4,11.990861788617886,36.0,7.985782518135459,44.0625,46.458333333333336,79.8,3.0402777777777774,11.990861788617886,21.99289125906773,34.55747735979946
65536,xattn_v9,qwen_xattn_v9_threshold0.95,30.0,39.0,28.000000000000004,79.25,41.333333333333336,32.666666666666664,43.0,69.5,83.39999999999999,91.8,84.0,87.2,51.6,0.0,0.0,21.9,2.5,0.7159090909090909,0.4,10.683821138211384,36.0,7.79588352823647,44.0625,46.625,79.6,4.2526515151515145,10.683821138211384,21.897941764118237,34.52031906958019
65536,xflex_v6,qwen_xflex_v6_threshold0.95_score0.001,32.0,39.0,32.0,78.25,41.0,31.833333333333336,39.5,70.0,83.2,92.0,85.2,86.0,51.6,0.0,0.0,19.399999999999995,1.3333333333333333,0.34090909090909094,0.4,11.356821138211384,33.0,6.996986346986348,45.3125,45.583333333333336,79.6,3.5790404040404025,11.356821138211384,19.998493173493173,34.23836467484639
